estado,grupo,producto_normalizado,match_score,nb_categoria,nb_codigo,nb_id_fabricante,nb_nombre,nb_marca,nb_brand_key,nb_precio_ars,nb_stock,cg_fuente,cg_cate,cg_nombre,cg_marca,cg_precio_ars,cg_disponible,cg_url,diferencia_ars,diferencia_pct
repetido,mothers,mothers|ASUS|X870E|AM5|AM5|ROG|CROSSHAIR|X870E|DARK,92.0,MOTHER ASUS,122666,ROG CROSSHAIR X870E DARK HERO,MOTHER ASUS (AM5) ROG CROSSHAIR X870E DARK HERO,ASUS,ASUS,1120966.72,4.0,compragamer_mothers_amd,26.0,Mother ASUS ROG CROSSHAIR X870E HERO DDR5 AM5,Asus,1239100.0,True,https://compragamer.com/producto/Mother_ASUS_ROG_CROSSHAIR_X870E_HERO_DDR5_AM5_16445?cate=26,118133.28000000003,10.53851803914393
repetido,mothers,mothers|GIGABYTE|B840M|AM5|AM5|B840M|AORUS|ELITE|WIFI6E,85.0,MOTHER GIGABYTE,120649,B840M A ELITE WIFI6E,MOTHER GIGABYTE (AM5) B840M AORUS ELITE WIFI6E,GIGABYTE                                          ,GIGABYTE,243525.2,10.0,compragamer_mothers_amd,26.0,Mother Gigabyte B850 AORUS ELITE WIFI 7 ICE AM5,Gigabyte,357550.0,True,https://compragamer.com/producto/Mother_Gigabyte_B850_AORUS_ELITE_WIFI_7_ICE_AM5_20157?cate=26,114024.79999999999,46.82258755972687
repetido,mothers,mothers|ASROCK|B850M|AM5|AM5|B850M,100.0,MOTHER ASROCK,120127,B850M-X,MOTHER ASROCK (AM5) B850M-X,ASROCK,ASROCK,189940.72,10.0,compragamer_mothers_amd,26.0,Mother Asrock B850M PRO-A WIFI AM5 DDR5,Asrock,257000.0,True,https://compragamer.com/producto/Mother_Asrock_B850M_PRO_A_WIFI_AM5_DDR5_18234?cate=26,67059.28,35.305373171166245
repetido,mothers,mothers|ASUS|B850|AM5|AM5|TUF|B850,100.0,MOTHER ASUS,120209,TUF GAMING B850-PLUS WIFI,MOTHER ASUS (AM5) TUF GAMING B850-PLUS WIFI,ASUS,ASUS,354585.39,4.0,compragamer_mothers_amd,26.0,Mother ASUS TUF GAMING B850-PLUS WIFI AM5 DDR5,Asus,419850.0,True,https://compragamer.com/producto/Mother_ASUS_TUF_GAMING_B850_PLUS_WIFI_AM5_DDR5_16936?cate=26,65264.609999999986,18.405893711526012
repetido,mothers,mothers|ASROCK|B860||LGA1851|B860|STEEL|LEGEND,100.0,MOTHER ASROCK,120128,B860 STEEL LEGEND WIFI,MOTHER ASROCK (LGA1851) B860 STEEL LEGEND WIFI,ASROCK,ASROCK,292850.96,6.0,compragamer_mothers_intel,49.0,Mother Asrock B860 STEEL LEGEND WIFI LGA1851 DDR5,Asrock,357650.0,True,https://compragamer.com/producto/Mother_Asrock_B860_STEEL_LEGEND_WIFI_LGA1851_DDR5_17349?cate=49,64799.03999999998,22.126968612293428
repetido,mothers,mothers|ASUS|B850|AM5|AM5|ROG|STRIX|B850,100.0,MOTHER ASUS,119908,ROG STRIX B850-E GAMING WIFI,MOTHER ASUS (AM5) ROG STRIX B850-E GAMING WIFI,ASUS,ASUS,576975.67,10.0,compragamer_mothers_amd,26.0,Mother ASUS ROG STRIX B850-E GAMING WIFI AM5 DDR5,Asus,640650.0,True,https://compragamer.com/producto/Mother_ASUS_ROG_STRIX_B850_E_GAMING_WIFI_AM5_DDR5_16939?cate=26,63674.32999999996,11.035877821329962
repetido,mothers,mothers|ASUS|Z890|1851|1851|TUF|Z890,90.0,MOTHER ASUS,119907,TUF GAMING Z890-PLUS WIFI,MOTHER ASUS (1851) TUF GAMING Z890-PLUS WIFI,ASUS,ASUS,474834.47,2.0,compragamer_mothers_intel,49.0,Mother ASUS TUF GAMING Z890-PLUS WIFI LGA1851,Asus,535010.0,True,https://compragamer.com/producto/Mother_ASUS_TUF_GAMING_Z890_PLUS_WIFI_LGA1851_16706?cate=49,60175.53000000003,12.672948954190295
repetido,mothers,mothers|ASUS|X670E|AM5|AM5|ROG|CROSSHAIR|X670E|HERO,100.0,MOTHER ASUS,119145,ROG CROSSHAIR X670E HERO,MOTHER ASUS (AM5) ROG CROSSHAIR X670E HERO,ASUS,ASUS,895922.26,3.0,compragamer_mothers_amd,26.0,Mother ASUS ROG CROSSHAIR X670E HERO AM5,Asus,955100.0,True,https://compragamer.com/producto/Mother_ASUS_ROG_CROSSHAIR_X670E_HERO_AM5_14095?cate=26,59177.73999999999,6.605231574444861
repetido,mothers,mothers|ASUS|X870|AM5|AM5|PRIME|X870,100.0,MOTHER ASUS,119734,PRIME X870-P WIFI,MOTHER ASUS (AM5) PRIME X870-P WIFI,ASUS,ASUS,369808.55,5.0,compragamer_mothers_amd,26.0,Mother ASUS PRIME X870-P WIFI DDR5 AM5,Asus,424500.0,True,https://compragamer.com/producto/Mother_ASUS_PRIME_X870_P_WIFI_DDR5_AM5_16441?cate=26,54691.45000000001,14.789125346074345
repetido,mothers,mothers|ASUS|B840M|AM5|AM5|PRIME|B840M,100.0,MOTHER ASUS,120206,PRIME B840M-A,MOTHER ASUS (AM5) PRIME B840M-A,ASUS,ASUS,178578.22,10.0,compragamer_mothers_amd,26.0,Mother ASUS PRIME B840M-A WIFI AM5 DDR5,Asus,232450.0,True,https://compragamer.com/producto/Mother_ASUS_PRIME_B840M_A_WIFI_AM5_DDR5_16891?cate=26,53871.78,30.167049486773916
repetido,mothers,mothers|ASROCK|A620M|AM5|AM5|A620M|HDV,80.0,MOTHER ASROCK,119769,A620M-HDV/M.2+,MOTHER ASROCK (AM5) A620M-HDV/M.2+,ASROCK,ASROCK,154458.75,10.0,compragamer_mothers_amd,26.0,Mother Asrock A620M PRO RS AM5 DDR5,Asrock,206700.0,True,https://compragamer.com/producto/Mother_Asrock_A620M_PRO_RS_AM5_DDR5_17067?cate=26,52241.25,33.822136978319456
repetido,mothers,mothers|ASROCK|X870|AM5|AM5|X870|STEEL|LEGEND,100.0,MOTHER ASROCK,119754,X870 STEEL LEGEND WIFI,MOTHER ASROCK (AM5) X870 STEEL LEGEND WIFI,ASROCK,ASROCK,426578.51,5.0,compragamer_mothers_amd,26.0,Mother Asrock X870 STEEL LEGEND WIFI DDR5 AM5,Asrock,478550.0,True,https://compragamer.com/producto/Mother_Asrock_X870_STEEL_LEGEND_WIFI_DDR5_AM5_16658?cate=26,51971.48999999999,12.1833352552148
repetido,mothers,mothers|ASUS|X870|AM5|AM5|TUF|X870,100.0,MOTHER ASUS,119735,TUF GAMING X870-PLUS WIFI,MOTHER ASUS (AM5) TUF GAMING X870-PLUS WIFI,ASUS,ASUS,474120.85,4.0,compragamer_mothers_amd,26.0,Mother ASUS TUF GAMING X870-PLUS WIFI DDR5 AM5,Asus,525600.0,True,https://compragamer.com/producto/Mother_ASUS_TUF_GAMING_X870_PLUS_WIFI_DDR5_AM5_16442?cate=26,51479.15000000002,10.857811884881254
repetido,mothers,mothers|ASROCK|Z890||LGA1851|Z890,100.0,MOTHER ASROCK,119771,Z890 PRO-A,MOTHER ASROCK (LGA1851) Z890 PRO-A,ASROCK,ASROCK,277980.99,10.0,compragamer_mothers_intel,49.0,Mother Asrock Z890 PRO-A LGA1851 DDR5,Asrock,327250.0,True,https://compragamer.com/producto/Mother_Asrock_Z890_PRO_A_LGA1851_DDR5_18937?cate=49,49269.01000000001,17.72387744931767
repetido,mothers,mothers|ASROCK|Z890||LGA1851|Z890|RS,100.0,MOTHER ASROCK,119777,Z890 PRO RS WIFI WHITE,MOTHER ASROCK (LGA1851) Z890 PRO RS WIFI WHITE,ASROCK,ASROCK,359455.71,10.0,compragamer_mothers_intel,49.0,Mother Asrock Z890 PRO RS LGA1851 DDR5,Asrock,403150.0,True,https://compragamer.com/producto/Mother_Asrock_Z890_PRO_RS_LGA1851_DDR5_17333?cate=49,43694.28999999998,12.155681154710264
repetido,mothers,mothers|ASUS|AM5|TUF|B650EM,89.0,MOTHER ASUS,121651,TUF GAMING B650EM-PLUS WIFI,MOTHER ASUS (AM5) TUF GAMING B650EM-PLUS WIFI,ASUS,ASUS,293517.66,10.0,compragamer_mothers_amd,26.0,Mother ASUS TUF GAMING B850M-E WIFI AM5 DDR5,Asus,336550.0,True,https://compragamer.com/producto/Mother_ASUS_TUF_GAMING_B850M_E_WIFI_AM5_DDR5_18649?cate=26,43032.340000000026,14.660903197443053
repetido,mothers,mothers|ASROCK|Z890||LGA1851|Z890,100.0,MOTHER ASROCK,119772,Z890 PRO-A WIFI,MOTHER ASROCK (LGA1851) Z890 PRO-A WIFI,ASROCK,ASROCK,294696.11,10.0,compragamer_mothers_intel,49.0,Mother Asrock Z890 PRO-A WIFI LGA1851 DDR5,Asrock,336050.0,True,https://compragamer.com/producto/Mother_Asrock_Z890_PRO_A_WIFI_LGA1851_DDR5_19457?cate=49,41353.890000000014,14.032723404458924
repetido,mothers,mothers|ASUS|B850M|AM5|AM5|PRIME|B850M,100.0,MOTHER ASUS,121654,PRIME B850M-K,MOTHER ASUS (AM5) PRIME B850M-K,ASUS,ASUS,205373.61,6.0,compragamer_mothers_amd,26.0,Mother ASUS PRIME B850M-A AM5 DDR5,Asus,243550.0,True,https://compragamer.com/producto/Mother_ASUS_PRIME_B850M_A_AM5_DDR5_18651?cate=26,38176.390000000014,18.588751495384447
repetido,mothers,mothers|ASUS|B760M||LGA1700|PRIME|B760M|D4|CSM,94.0,MOTHER ASUS,119264,PRIME B760M-A D4-CSM,MOTHER ASUS (LGA1700) PRIME B760M-A D4 CSM,ASUS,ASUS,156129.74,10.0,compragamer_mothers_intel,49.0,Mother ASUS PRIME B760M-A CSM LGA1700 DDR5,Asus,192900.0,True,https://compragamer.com/producto/Mother_ASUS_PRIME_B760M_A_CSM_LGA1700_DDR5_16617?cate=49,36770.26000000001,23.551092828310615
