estado,grupo,producto_normalizado,nb_categoria,nb_codigo,nb_id_fabricante,nb_nombre,nb_marca,nb_precio_ars,nb_stock,mexx_match_score,mexx_articulo,mexx_nombre,mexx_marca,mexx_precio_ars,mexx_disponibilidad,mexx_diferencia_ars,mexx_diferencia_pct,mexx_url,cg_match_score,cg_articulo,cg_nombre,cg_marca,cg_precio_ars,cg_disponibilidad,cg_diferencia_ars,cg_diferencia_pct,cg_url,mejor_diferencia_ars,mejor_fuente
repetido,memorias,memorias|16GB|DDR4|3200|,MEMORIAS,119127,AX4U320016G16A-SBKD35G,MEMORIA XPG 16GB 18I DDR4 3200 RGB,ADATA,247948.33,10.0,41.0,27758,Memoria Ram DDR4 - 16Gb 3200 Mhz Kingston Fury Beast,Kingston Fury,349999.0,EN STOCK,102050.67000000001,41.15803885430485,https://www.mexx.com.ar/productos-rubro/memorias-ram/50556-memoria-ram-ddr4-16gb-3200-mhz-kingston-fury-beast.html,-,-,-,-,-,-,-,-,-,102050.67000000001,mexx
repetido,procesadores,procesadores|AMD|RYZEN|9|9900X3D,PROCESADORES,120135,100-100001368WOF,PROCESADOR AMD (AM5) RYZEN 9 9900X3D,AMD                                               ,966410.35,10.0,89.0,24415,Procesador Amd Ryzen 9 9900X3D 5.5 Ghz - AM5 Sin Cooler Con Gpu,Amd,1057999.0,EN STOCK,91588.65000000002,9.477200859862482,https://www.mexx.com.ar/productos-rubro/procesadores/48832-procesador-amd-ryzen-9-9900x3d-5.5-ghz-am5-sin-cooler-con-gpu.html,61.0,17171.0,Procesador AMD Ryzen 9 9900X3D 5.5GHz Turbo AM5 - No Incluye Cooler,AMD,1035720.0,True,69309.65000000002,7.17186545032346,https://compragamer.com/producto/Procesador_AMD_Ryzen_9_9900X3D_5_5GHz_Turbo_AM5_No_Incluye_Cooler_17171?cate=27,91588.65000000002,mexx
repetido,mothers,mothers|ASUS|B850|AM5|AM5|ROG|STRIX|B850,MOTHER ASUS,119906,ROG STRIX B850-F GAMING WIFI,MOTHER ASUS (AM5) ROG STRIX B850-F GAMING WIFI,ASUS,466589.73,10.0,100.0,20634,Motherboard AM5 - Asus Rog Strix B850-F GAMING WIFI,Asus,545999.0,EN STOCK,79409.27000000002,17.019077980992,https://www.mexx.com.ar/productos-rubro/motherboards/49784-motherboard-am5-asus-rog-strix-b850-f-gaming-wifi.html,-,-,-,-,-,-,-,-,-,79409.27000000002,mexx
repetido,fuentes,fuentes|GIGABYTE|650W|80 PLUS|650W|ICE|80|SILVER,FUENTES,119729,GP-P650SS ICE,FUENTE GAMER GIGABYTE 650W ICE 80 PLUS SILVER ATX 3.0 WHITE,GIGABYTE                                          ,70698.39,10.0,82.0,69429,Fuente Gigabyte 650W 80 Plus Silver Plus Blanca,Gigabyte,149999.0,EN STOCK,79300.61,112.16749065997118,https://www.mexx.com.ar/productos-rubro/fuentes-de-poder/51326-fuente-gigabyte-650w-80-plus-silver-plus-blanca.html,-,-,-,-,-,-,-,-,-,79300.61,mexx
repetido,refrigeracion,refrigeracion|COOLERMASTER||WATER|MASTER|MASTERLIQUID|360|CORE|NEX,COOLERS,121443,MLX-D36M-A18PA-RW,WATER COOLER MASTER MASTERLIQUID 360 CORE NEX ARGB BLANCO,COOLER MASTER,112494.36,10.0,78.0,70446,Cooler Cpu Watercooler Cooler Master MasterLiquid 360 CoreII Argb 250W Whit,Cooler Master,190999.0,EN STOCK,78504.64,69.78540079698217,https://www.mexx.com.ar/productos-rubro/refrigeracion-pc/49716-cooler-cpu-watercooler-cooler-master-masterliquid-360-coreii-argb-250w-whit.html,-,-,-,-,-,-,-,-,-,78504.64,mexx
repetido,procesadores,procesadores|AMD|RYZEN|9|9950X3D,PROCESADORES,120136,100-100000719WOF,PROCESADOR AMD (AM5) RYZEN 9 9950X3D,AMD                                               ,1138242.25,10.0,-,-,-,-,-,-,-,-,-,61.0,17172.0,Procesador AMD Ryzen 9 9950X3D 5.7GHz Turbo AM5 - No Incluye Cooler,AMD,1202380.0,True,64137.75,5.634806650341788,https://compragamer.com/producto/Procesador_AMD_Ryzen_9_9950X3D_5_7GHz_Turbo_AM5_No_Incluye_Cooler_17172?cate=27,64137.75,compragamer
repetido,fuentes,fuentes|COOLERMASTER|1200W||MASTER|ELITE|GOLD|1200W|FM,FUENTES,121453,MPW-C001-AFAG,FUENTE COOLER MASTER ELITE GOLD 1200W FM (Full Modular),COOLER MASTER,197399.9,10.0,79.0,70371,Fuente Cooler Master 1250W Gold Full Modular GX3,Cooler Master,260999.0,EN STOCK,63599.100000000006,32.218405379131404,https://www.mexx.com.ar/productos-rubro/fuentes-de-poder/48242-fuente-cooler-master-1250w-gold-full-modular-gx3.html,-,-,-,-,-,-,-,-,-,63599.100000000006,mexx
repetido,procesadores,procesadores|AMD|RYZEN|7|7700,PROCESADORES,118093,100-100000592BOX,PROCESADOR AMD (AM5) RYZEN 7 7700 C/COOLER,AMD                                               ,482085.3,10.0,100.0,24364,Procesador Amd Ryzen 7 7700 5.3 Ghz - AM5,Amd,540999.0,EN STOCK,58913.70000000001,12.220596645448433,https://www.mexx.com.ar/productos-rubro/procesadores/45551-procesador-amd-ryzen-7-7700-5.3-ghz-am5.html,72.0,14359.0,Procesador AMD Ryzen 7 7700 5.3GHz Turbo AM5,AMD,515178.0,True,33092.70000000001,6.8644905787419805,https://compragamer.com/producto/Procesador_AMD_Ryzen_7_7700_5_3GHz_Turbo_AM5_14359?cate=27,58913.70000000001,mexx
repetido,monitores,monitores|ASUS|27|180HZ|27|AS|VG279Q3A|FHD|IPS|180HZ,MONITORES,119804,VG279Q3A-J,MONITOR 27 ASUS AS VG279Q3A GAMING FHD IPS 180Hz 1ms,ASUS,253693.99,5.0,82.0,58893,"Monitor Gamer 27"" Asus Tuf Gaming Ips 180Hz 1Ms VG279Q3A-J",Asus,304459.0,EN STOCK,50765.01000000001,20.01033213281876,https://www.mexx.com.ar/productos-rubro/monitores/48431-monitor-gamer-27-asus-tuf-gaming-ips-180hz-1ms-vg279q3a-j.html,-,-,-,-,-,-,-,-,-,50765.01000000001,mexx
repetido,mothers,mothers|ASUS|X870|AM5|AM5|PRIME|X870,MOTHER ASUS,119734,PRIME X870-P WIFI,MOTHER ASUS (AM5) PRIME X870-P WIFI,ASUS,369808.55,5.0,100.0,20861,Motherboard AM5 - Asus Prime X870-P WIFI,Asus,419999.0,EN STOCK,50190.45000000001,13.572009084159903,https://www.mexx.com.ar/productos-rubro/motherboards/48038-motherboard-am5-asus-prime-x870-p-wifi.html,-,-,-,-,-,-,-,-,-,50190.45000000001,mexx
