source,category,name,price_ars,url,article,brand,availability,page,scraped_at
compragamer.com,procesadores,Procesador AMD Ryzen 9 5900XT 4.8GHz Turbo AM4 - No incluye Cooler,541350,https://compragamer.com/producto/Procesador_AMD_Ryzen_9_5900XT_4_8GHz_Turbo_AM4_No_incluye_Cooler_15983?cate=27,15983,AMD,vendible,1,2026-05-26T10:27:19
compragamer.com,procesadores,Procesador AMD Ryzen 7 9700X 5.5GHz Turbo AM5 - No Incluye Cooler,538350,https://compragamer.com/producto/Procesador_AMD_Ryzen_7_9700X_5_5GHz_Turbo_AM5_No_Incluye_Cooler_16037?cate=27,16037,AMD,vendible,1,2026-05-26T10:27:19
compragamer.com,procesadores,Procesador AMD Ryzen 9 9900X 5.6GHz Turbo AM5 - No Incluye Cooler,706550,https://compragamer.com/producto/Procesador_AMD_Ryzen_9_9900X_5_6GHz_Turbo_AM5_No_Incluye_Cooler_16038?cate=27,16038,AMD,vendible,1,2026-05-26T10:27:19
compragamer.com,procesadores,Procesador AMD Ryzen 5 9600X 5.4GHz Turbo AM5 - No Incluye Cooler,370400,https://compragamer.com/producto/Procesador_AMD_Ryzen_5_9600X_5_4GHz_Turbo_AM5_No_Incluye_Cooler_16099?cate=27,16099,AMD,vendible,1,2026-05-26T10:27:19
compragamer.com,procesadores,Procesador AMD Ryzen 9 9950X 5.7GHz Turbo AM5 - No incluye cooler,997400,https://compragamer.com/producto/Procesador_AMD_Ryzen_9_9950X_5_7GHz_Turbo_AM5_No_incluye_cooler_16100?cate=27,16100,AMD,vendible,1,2026-05-26T10:27:19
compragamer.com,procesadores,Procesador AMD Ryzen 3 5300G 4.2GHz Turbo AM4 + Wraith Stealth Cooler,155550,https://compragamer.com/producto/Procesador_AMD_Ryzen_3_5300G_4_2GHz_Turbo_AM4_Wraith_Stealth_Cooler_16343?cate=27,16343,AMD,vendible,1,2026-05-26T10:27:19
compragamer.com,procesadores,Procesador AMD Ryzen 7 9800X3D 5.2GHz Turbo AM5 - No Incluye Cooler,717500,https://compragamer.com/producto/Procesador_AMD_Ryzen_7_9800X3D_5_2GHz_Turbo_AM5_No_Incluye_Cooler_16708?cate=27,16708,AMD,vendible,1,2026-05-26T10:27:19
compragamer.com,procesadores,Procesador AMD Ryzen 9 9900X3D 5.5GHz Turbo AM5 - No Incluye Cooler,1039350,https://compragamer.com/producto/Procesador_AMD_Ryzen_9_9900X3D_5_5GHz_Turbo_AM5_No_Incluye_Cooler_17171?cate=27,17171,AMD,vendible,1,2026-05-26T10:27:19
compragamer.com,procesadores,Procesador AMD Ryzen 9 9950X3D 5.7GHz Turbo AM5 - No Incluye Cooler,1206600,https://compragamer.com/producto/Procesador_AMD_Ryzen_9_9950X3D_5_7GHz_Turbo_AM5_No_Incluye_Cooler_17172?cate=27,17172,AMD,vendible,1,2026-05-26T10:27:19
compragamer.com,procesadores,Procesador AMD Ryzen 5 9600 5.2GHz Turbo AM5,372550,https://compragamer.com/producto/Procesador_AMD_Ryzen_5_9600_5_2GHz_Turbo_AM5_17636?cate=27,17636,AMD,vendible,1,2026-05-26T10:27:19
compragamer.com,procesadores,Procesador AMD Ryzen 5 5500X3D 4.0GHz Turbo AM4 - No Incluye Cooler,342850,https://compragamer.com/producto/Procesador_AMD_Ryzen_5_5500X3D_4_0GHz_Turbo_AM4_No_Incluye_Cooler_18268?cate=27,18268,AMD,vendible,1,2026-05-26T10:27:19
compragamer.com,procesadores,Procesador AMD Ryzen 9 7900 5.4GHz Turbo AM5 - Sin Cooler,586650,https://compragamer.com/producto/Procesador_AMD_Ryzen_9_7900_5_4GHz_Turbo_AM5_Sin_Cooler_18579?cate=27,18579,AMD,vendible,1,2026-05-26T10:27:19
compragamer.com,procesadores,Procesador AMD Ryzen 3 4100 Sin cooler OEM AM4 - OUTLET,70900,https://compragamer.com/producto/Procesador_AMD_Ryzen_3_4100_Sin_cooler_OEM_AM4_OUTLET_18761?cate=27,18761,AMD,vendible,1,2026-05-26T10:27:19
compragamer.com,procesadores,Procesador AMD Ryzen 7 5800XT 4.8GHz Turbo AM4 - No incluye Cooler,440700,https://compragamer.com/producto/Procesador_AMD_Ryzen_7_5800XT_4_8GHz_Turbo_AM4_No_incluye_Cooler_18813?cate=27,18813,AMD,vendible,1,2026-05-26T10:27:19
compragamer.com,procesadores,Procesador AMD Ryzen 5 7500F 5.0GHz Turbo AM5 OEM - Incluye Cooler Wraith Stealth,268600,https://compragamer.com/producto/Procesador_AMD_Ryzen_5_7500F_5_0GHz_Turbo_AM5_OEM_Incluye_Cooler_Wraith_Stealth_18942?cate=27,18942,AMD,vendible,1,2026-05-26T10:27:19
compragamer.com,procesadores,Procesador AMD Ryzen 7 9850X3D 5.6GHz Turbo AM5 - No Incluye Cooler,914950,https://compragamer.com/producto/Procesador_AMD_Ryzen_7_9850X3D_5_6GHz_Turbo_AM5_No_Incluye_Cooler_19450?cate=27,19450,AMD,vendible,1,2026-05-26T10:27:19
compragamer.com,procesadores,Procesador AMD Ryzen 3 4100 Sin cooler OEM BULK - OUTLET,72400,https://compragamer.com/producto/Procesador_AMD_Ryzen_3_4100_Sin_cooler_OEM_BULK_OUTLET_19632?cate=27,19632,AMD,vendible,1,2026-05-26T10:27:19
compragamer.com,procesadores,Procesador AMD Ryzen 9 9950X3D2 Dual Edition 5.6GHz Turbo AM5 - No Incluye Cooler,1671050,https://compragamer.com/producto/Procesador_AMD_Ryzen_9_9950X3D2_Dual_Edition_5_6GHz_Turbo_AM5_No_Incluye_Cooler_20303?cate=27,20303,AMD,vendible,1,2026-05-26T10:27:19
